xorg-x11-drv-openchrome-0.5.0-3,  xorg-x11-drv-openchrome,  0.5.0-3
libXmu-1.1.2-2,  libXmu,  1.1.2-2
shadow-utils-4.1.5.1-24,  shadow-utils-4,  1.5.1-24
libXinerama-1.1.3-2.1,  libXinerama,  1.1.3-2.1
libXcursor-1.1.14-8,  libXcursor,  1.1.14-8
VRTSnbjre-7.7.3.0-1463709477,  VRTSnbjre-7,  7.3.0-1463709477
libXtst-1.2.3-1,  libXtst,  1.2.3-1
VRTSpbx-1.5.40.12-12,  VRTSpbx-1,  5.40.12-12
libxkbfile-1.0.9-3,  libxkbfile,  1.0.9-3
VRTSnbclt-7.7.3.0-1463709550,  VRTSnbclt-7,  7.3.0-1463709550
xorg-x11-server-common-1.19.5-5,  xorg-x11-server-common,  1.19.5-5
VRTSnbcfg-7.7.3.0-1463709476,  VRTSnbcfg-7,  7.3.0-1463709476
libXdamage-1.1.4-4.1,  libXdamage,  1.1.4-4.1
oracle-agt-12.1.0.5.0-1.0,  oracle-agt-12.1,  0.5.0-1.0
polkit-pkla-compat-0.1-4,  polkit-pkla-compat,  0.1-4
xorg-x11-server-Xorg-1.19.5-5,  xorg-x11-server-Xorg,  1.19.5-5
audit-libs-2.8.1-3,  audit-libs,  2.8.1-3
xorg-x11-drv-vmmouse-13.1.0-1,  xorg-x11-drv-vmmouse,  13.1.0-1
xorg-x11-drv-intel-2.99.917-27.20160929,  xorg-x11-drv-intel,  2.99.917-27.20160929
xorg-x11-drv-evdev-2.10.5-2.1,  xorg-x11-drv-evdev,  2.10.5-2.1
crontabs-1.11-6.20121102git,  crontabs,  1.11-6.20121102git
xorg-x11-drv-wacom-0.34.2-5,  xorg-x11-drv-wacom,  0.34.2-5
xorg-x11-drv-vmware-13.2.1-1,  xorg-x11-drv-vmware,  13.2.1-1
xorg-x11-drv-qxl-0.1.5-3,  xorg-x11-drv-qxl,  0.1.5-3
xorg-x11-drv-vesa-2.3.2-25.1,  xorg-x11-drv-vesa,  2.3.2-25.1
libXft-2.3.2-2,  libXft,  2.3.2-2
libdmx-1.1.3-3,  libdmx,  1.1.3-3
libXaw-1.0.13-4,  libXaw,  1.0.13-4
libwacom-0.24-4,  libwacom,  0.24-4
libpng-1.5.13-7.el7_2,  libpng,  1.5.13-7.el7_2
python-hwdata-1.7.3-4,  python-hwdata,  1.7.3-4
xorg-x11-drv-libinput-0.25.0-2,  xorg-x11-drv-libinput,  0.25.0-2
xorg-x11-xinit-1.3.4-2,  xorg-x11-xinit,  1.3.4-2
numactl-libs-2.0.9-7,  numactl-libs,  2.0.9-7
firewalld-filesystem-0.4.4.4-14,  firewalld-filesystem-0,  4.4.4-14
quota-nls-4.01-17,  quota-nls,  4.01-17
ncurses-libs-5.9-14.20130511.el7_4,  ncurses-libs,  5.9-14.20130511.el7_4
info-5.1-5,  info,  5.1-5
libselinux-2.5-12,  libselinux,  2.5-12
tar-1.26-34,  tar,  1.26-34
iptables-1.4.21-24.1.el7_5,  iptables,  1.4.21-24.1.el7_5
vim-minimal-7.4.160-4,  vim-minimal,  7.4.160-4
ca-certificates-2018.2.22-70.0.el7_5,  ca-certificates,  2018.2.22-70.0.el7_5
xmlsec1-openssl-1.2.20-7.el7_4,  xmlsec1-openssl,  1.2.20-7.el7_4
nss-softokn-3.36.0-5.el7_5,  nss-softokn,  3.36.0-5.el7_5
coreutils-8.22-21,  coreutils,  8.22-21
pam-1.1.8-22,  pam,  1.1.8-22
python-libs-2.7.5-69.el7_5,  python-libs,  2.7.5-69.el7_5
libmount-2.23.2-52,  libmount,  2.23.2-52
shared-mime-info-1.8-4,  shared-mime-info,  1.8-4
gzip-1.5-10,  gzip,  1.5-10
python-dmidecode-3.12.2-2,  python-dmidecode,  3.12.2-2
libselinux-python-2.5-12,  libselinux-python,  2.5-12
python-slip-dbus-0.4.0-4,  python-slip-dbus,  0.4.0-4
rhnlib-2.5.65-7,  rhnlib,  2.5.65-7
